Defect ID,Module,Summary,Priority,Assignee,Affect Version,Environment,Steps to Recreate,Expected Results,Actual Results,Status
Ushop_036,Landding Page,A UI issue in pricing,Low,,V.0.0.1,Testing,1. Enter valid URL,The value of enterprice package should mention the currency(LKR),The value of enterprice package do not mention the currency(LKR),To do
,,,,,,,2.Login to the landing page,,,
Ushop_037,Signin/ Signup,A UI issue of mobile number entering field,Low,,V.0.0.1,Testing,1. Enter valid URL,The placeholder test of mobile number entering field shoul show the required format as 7*********,The placeholder test of mobile number entering field shows 77 as fist digits.,To do
,,,,,,,2.Click on signin/ signuop button,,,
Ushop_038,Orders.,It allows to remove the items manually from the invoice as the empty order keep remain.,Medium,,V.0.0.1,Testing,Enter valid URL.,When all items removed the empty order should be removed from the order table.,Order table includes the order while remaining the order value empty. The invoice shows the delevery charges as the total amount.,To do
,,,,,,,Login to ths system,,,
,,,,,,,Click on orders,,,
,,,,,,,Click on order status,,,
,,,,,,,Remove the all items of the order.,,,
,,,,,,,The invoice with only the elivery charges will remain,,,
,,,,,,,Go back to orders,,,
,,,,,,,The amount of order will be empty.,,,
Ushop_039,Place orders,"Mobile no input fields can type special characters, letter and have not limited digits",Medium,,V.0.0.1,Testing,Enter valid shop URL,The mobile number fields shoul allow to enter only numbers. It shoul be limited the no of digits to 9/10,It allow to enter any number of digits and any special character to the mobile no field.,To do
,,,,,,,Login to the store,,,
,,,,,,,Add items to the cart,,,
,,,,,,,Click on cart.,,,
,,,,,,,Click next,,,
,,,,,,,Provide contact details and delivery details.,,,
Ushop_040,Orders, The amount of the order table do not tally with the total amount of invoice.,Low,,V.0.0.1,Testing,Enter valid URL,The amount of the order in order table should be tally with the total amount of invoice.,The amount before add the delivery charges appears in order table although the invoice has mentioned the delivery charges.,To do
,,,,,,,Login to the system.,,,
,,,,,,,Click on order tab.,,,
,,,,,,,Select an order in order table and note the amount.,,,
,,,,,,,Click on order status to get invoice.,,,
,,,,,,,The total amount of invoice will not tally with the amount of order table. The delivery charges has not added to the table amount,,,
Ushop_041,Manage Items,  Add items in bulk drop down menu is not working.,Low,,V.0.0.1,Testing,Enter valid URL,It should display a drop down menu or a further option to do.,No any functionality added there and the drop down menu is not working,To do
,,,,,,,Login to the system,,,
,,,,,,,Go to manage items,,,
,,,,,,,Click on drop down menu beside the Add Item button,,,
Ushop_042,Settings: Distances and prices,"Successful deletion of distances and prices gives the message ""discount deleted successfully""",Low,,V.0.0.1,Testing,Enter valid URL,It should display a relevant notification,"Displays the notification ""Discount deleted succcessfully""",To do
,,,,,,,Login to the system.,,,
,,,,,,,Click on settings.,,,
,,,,,,,Click on distances and prices.,,,
,,,,,,,Click on delete icon of distance and price.,,,
,,,,,,,Click on delete button of the dialoge box.,,,
Ushop_043,Orders, sub totals in invoice give two different values as the cart and catalog appears.,Low,,V.0.0.1,Testing,Enter valid URL,It should display the same value for subtotal ,Subtotals in invoice give two different values,To do
,,,,,,,Login to the system.,,,
,,,,,,,Click on orders,,,
,,,,,,,Click on order status.,,,
,,,,,,,Get the order invoice,,,
Ushop_044,Reporting, The pie chart that represent the  availability of items do not represent the amounts correctly.,Medium,,V.0.0.1,Testing,Enter valid URL,,,To do
,,,,,,,Login to the system,,,
,,,,,,,Click on reporting.,,,
,,,,,,,Check the pie chart represent the availability with values,,,
Ushop_045,Place orders," It gives notification ""Discount code copied to clipboard"" when coping the bank details",Low,,V.0.0.1,Testing,Enter valid shop URL,It should display a relevant notification.," It gives notification ""Discount code copied to clipboard"" when coping the bank details",To do
,,,,,,,Login to the store.,,,
,,,,,,,Add items to the cart.,,,
,,,,,,,Click on cart,,,
,,,,,,,Click on next,,,
,,,,,,,Enter order details and delivery details.,,,
,,,,,,,Click on next,,,
,,,,,,,Click on bank detais to copy,,,
Ushop_046,Discount,Edit discount appears under create create discount title.,Low,,"V,0,0,1",Testing,Enter valid URL.,,,To do
